Country,Sex,Mean height
Afghanistan,Boys,165.6149624
Albania,Boys,172.2057496
Algeria,Boys,169.9052241
American Samoa,Boys,174.9377275
Andorra,Boys,176.0447785
Angola,Boys,165.4640849
Antigua and Barbuda,Boys,176.1824659
Argentina,Boys,172.7849129
Armenia,Boys,171.1171055
Australia,Boys,177.5095634
Austria,Boys,177.4924729
Azerbaijan,Boys,170.3891698
Bahamas,Boys,172.6014005
Bahrain,Boys,170.813966
Bangladesh,Boys,162.6834255
Barbados,Boys,175.223632
Belarus,Boys,176.1353071
Belgium,Boys,178.6826564
Belize,Boys,169.2637365
Benin,Boys,166.3612194
Bermuda,Boys,176.3562763
Bhutan,Boys,164.9338355
Bolivia,Boys,166.6884565
Bosnia and Herzegovina,Boys,178.7170737
Botswana,Boys,169.588977
Brazil,Boys,173.0828709
Brunei Darussalam,Boys,165.1454996
Bulgaria,Boys,171.069662
Burkina Faso,Boys,166.2736915
Burundi,Boys,164.6156566
Cabo Verde,Boys,170.6164812
Cambodia,Boys,162.8718613
Cameroon,Boys,167.4652423
Canada,Boys,177.2774672
Central African Republic,Boys,166.1854933
Chad,Boys,167.5350363
Chile,Boys,171.4702981
China,Boys,171.5470052
China (Hong Kong SAR),Boys,172.03413
Colombia,Boys,168.8584487
Comoros,Boys,165.5868833
Congo,Boys,166.6446729
Cook Islands,Boys,177.1217754
Costa Rica,Boys,172.2924969
Cote d'Ivoire,Boys,166.6479032
Croatia,Boys,180.1337597
Cuba,Boys,171.751306
Cyprus,Boys,172.1901694
Czech Republic,Boys,179.084919
Denmark,Boys,179.5662032
Djibouti,Boys,168.0801641
Dominica,Boys,177.7833682
Dominican Republic,Boys,172.175587
DR Congo,Boys,165.0891959
Ecuador,Boys,165.9018311
Egypt,Boys,166.660186
El Salvador,Boys,167.7268027
Equatorial Guinea,Boys,165.0793458
Eritrea,Boys,168.7758417
Estonia,Boys,180.6470604
Ethiopia,Boys,164.1765042
Fiji,Boys,172.2506576
Finland,Boys,178.1299209
France,Boys,177.0815085
French Polynesia,Boys,177.3753963
Gabon,Boys,167.4502692
Gambia,Boys,165.6881774
Georgia,Boys,171.8134739
Germany,Boys,178.6661143
Ghana,Boys,166.7566024
Greece,Boys,176.5697125
Greenland,Boys,171.9584024
Grenada,Boys,174.7512607
Guatemala,Boys,162.2306667
Guinea,Boys,167.500979
Guinea Bissau,Boys,165.2297368
Guyana,Boys,170.1196339
Haiti,Boys,170.23941
Honduras,Boys,167.0580087
Hungary,Boys,175.2817199
Iceland,Boys,179.1485864
India,Boys,162.6003612
Indonesia,Boys,162.8259629
Iran,Boys,171.908903
Iraq,Boys,170.3111732
Ireland,Boys,176.6956112
Israel,Boys,174.1621976
Italy,Boys,173.026971
Jamaica,Boys,174.1244334
Japan,Boys,170.7632128
Jordan,Boys,169.5936624
